,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
51,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,32.6,
52,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,30.8,
53,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,39.9,E
57,1981-01,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,28.0,
58,1981-01,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,22.6,
59,1981-01,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,39.1,E
60,1981-01,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,30.3,
61,1981-01,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,24.8,
62,1981-01,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,46.0,E
63,1981-01,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,30.6,
64,1981-01,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,28.3,
65,1981-01,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
66,1981-01,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.0,
67,1981-01,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,30.4,
68,1981-01,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.4,E
72,1981-01,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,31.8,
73,1981-01,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,27.0,
74,1981-01,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.0,E
75,1981-01,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,61.2,
76,1981-01,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,64.9,
77,1981-01,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
78,1981-01,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,54.7,
79,1981-01,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,54.6,
80,1981-01,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,51.4,E
171,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,32.6,
172,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,30.8,
173,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,39.9,E
177,1981-02,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,28.5,
178,1981-02,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,23.2,
179,1981-02,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,39.3,E
180,1981-02,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,30.4,
181,1981-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,24.9,
182,1981-02,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,46.0,E
183,1981-02,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,30.8,
184,1981-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,28.6,
185,1981-02,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
186,1981-02,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.1,
187,1981-02,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,30.5,
188,1981-02,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.5,E
192,1981-02,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,32.3,
193,1981-02,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,27.5,
194,1981-02,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.4,E
195,1981-02,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,61.2,
196,1981-02,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,64.9,
197,1981-02,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
198,1981-02,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,55.4,
199,1981-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,55.6,
200,1981-02,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,52.1,E
291,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,33.6,
292,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,31.9,
293,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.6,E
297,1981-03,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,29.8,
298,1981-03,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,24.8,
299,1981-03,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,39.5,E
300,1981-03,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,30.7,
301,1981-03,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,25.3,
302,1981-03,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,46.0,E
303,1981-03,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,30.8,
304,1981-03,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,28.6,
305,1981-03,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
