,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
306,1981-03,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.2,
307,1981-03,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,30.7,
308,1981-03,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.5,E
312,1981-03,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,32.8,
313,1981-03,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,28.2,
314,1981-03,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.4,E
315,1981-03,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,60.7,
316,1981-03,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,64.1,
317,1981-03,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
318,1981-03,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,55.4,
319,1981-03,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,55.6,
320,1981-03,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,52.1,E
411,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,33.7,
412,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,32.0,
413,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.6,E
417,1981-04,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,31.2,
418,1981-04,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,26.5,
419,1981-04,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.0,E
420,1981-04,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,31.0,
421,1981-04,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,25.6,
422,1981-04,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,46.3,E
423,1981-04,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,30.8,
424,1981-04,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,28.6,
425,1981-04,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
426,1981-04,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.6,
427,1981-04,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.1,
428,1981-04,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.5,E
432,1981-04,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,33.3,
433,1981-04,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,28.6,
434,1981-04,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.6,E
435,1981-04,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,60.6,
436,1981-04,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,63.9,
437,1981-04,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
438,1981-04,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,56.9,
439,1981-04,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.0,
440,1981-04,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
531,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,34.3,
532,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,32.7,
533,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
537,1981-05,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,32.3,
538,1981-05,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,27.7,
539,1981-05,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.1,E
540,1981-05,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,32.6,
541,1981-05,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,26.4,
542,1981-05,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,50.2,E
543,1981-05,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,31.0,
544,1981-05,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,28.9,
545,1981-05,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
546,1981-05,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.6,
547,1981-05,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.1,
548,1981-05,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.5,E
552,1981-05,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,33.3,
553,1981-05,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,28.6,
554,1981-05,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.6,E
555,1981-05,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,60.6,
556,1981-05,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,63.9,
557,1981-05,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
558,1981-05,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,56.9,
559,1981-05,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.0,
560,1981-05,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
651,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,34.8,
652,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.5,
653,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
657,1981-06,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,32.3,
658,1981-06,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,27.7,
659,1981-06,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.1,E
660,1981-06,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,32.7,
661,1981-06,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,26.6,
662,1981-06,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,50.2,E
663,1981-06,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,31.2,
664,1981-06,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,29.2,
665,1981-06,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
666,1981-06,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.9,
667,1981-06,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.4,
668,1981-06,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.7,E
672,1981-06,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,33.6,
673,1981-06,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,29.1,
674,1981-06,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.6,E
675,1981-06,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,60.6,
676,1981-06,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,63.9,
677,1981-06,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
678,1981-06,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,57.1,
679,1981-06,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.2,
680,1981-06,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
771,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,34.9,
772,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.5,
773,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
777,1981-07,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,32.2,
778,1981-07,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,27.7,
779,1981-07,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.1,E
780,1981-07,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,32.7,
781,1981-07,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,26.6,
782,1981-07,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,50.2,E
783,1981-07,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,31.2,
784,1981-07,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,29.2,
785,1981-07,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
786,1981-07,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.9,
787,1981-07,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.4,
788,1981-07,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.7,E
792,1981-07,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,34.1,
793,1981-07,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,29.7,
794,1981-07,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.6,E
795,1981-07,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,60.6,
796,1981-07,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,63.9,
797,1981-07,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
798,1981-07,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,57.1,
799,1981-07,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.2,
800,1981-07,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
891,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,35.2,
892,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.9,
893,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
897,1981-08,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,32.5,
898,1981-08,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,28.0,
899,1981-08,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.1,E
900,1981-08,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,32.7,
901,1981-08,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,26.7,
902,1981-08,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,50.2,E
903,1981-08,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,31.2,
904,1981-08,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,29.2,
905,1981-08,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
906,1981-08,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,34.9,
907,1981-08,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.4,
908,1981-08,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,43.7,E
912,1981-08,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,34.1,
913,1981-08,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,29.7,
914,1981-08,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,51.6,E
915,1981-08,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,60.6,
916,1981-08,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,63.9,
917,1981-08,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
918,1981-08,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,57.2,
919,1981-08,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.5,
920,1981-08,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
1011,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,35.2,
1012,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.9,
1013,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
1017,1981-09,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,32.6,
1018,1981-09,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,28.1,
1019,1981-09,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.1,E
1020,1981-09,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,32.7,
1021,1981-09,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,26.7,
1022,1981-09,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,50.2,E
1023,1981-09,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,31.2,
1024,1981-09,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,29.2,
1025,1981-09,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
1026,1981-09,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,35.0,
1027,1981-09,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.6,
1028,1981-09,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,44.0,E
1032,1981-09,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,34.2,
1033,1981-09,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,29.7,
1034,1981-09,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,52.0,E
1035,1981-09,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,58.3,
1036,1981-09,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,60.8,
1037,1981-09,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
1038,1981-09,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,57.2,
1039,1981-09,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.5,
1040,1981-09,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
1131,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,35.2,
1132,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.9,
1133,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
1137,1981-10,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",units,v111955499,32.5,
1138,1981-10,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",units,v111955500,28.1,
1139,1981-10,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",units,v111955501,40.1,E
1140,1981-10,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",units,v111955502,32.7,
1141,1981-10,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",units,v111955503,26.7,
1142,1981-10,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",units,v111955504,50.2,E
1143,1981-10,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",units,v111955505,31.2,
1144,1981-10,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",units,v111955506,29.2,
1145,1981-10,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",units,v111955507,35.6,E
1146,1981-10,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",units,v111955508,35.2,
1147,1981-10,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",units,v111955509,31.7,
1148,1981-10,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",units,v111955510,44.0,E
1152,1981-10,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",units,v111955514,34.2,
1153,1981-10,"London, Ontario",2011S0503555,House only,"Index, 201612=100",units,v111955515,29.7,
1154,1981-10,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",units,v111955516,52.0,E
1155,1981-10,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",units,v111955517,58.3,
1156,1981-10,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",units,v111955518,60.8,
1157,1981-10,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",units,v111955519,47.5,E
1158,1981-10,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",units,v111955520,57.2,
1159,1981-10,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",units,v111955521,57.5,
1160,1981-10,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",units,v111955522,53.7,E
1251,1981-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,36.3,
1252,1981-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,35.2,
