,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
694,1981-06,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.1,
695,1981-06,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,17.8,E
696,1981-06,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.0,
697,1981-06,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
698,1981-06,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.6,E
807,1981-07,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,28.5,
808,1981-07,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,32.0,
809,1981-07,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
813,1981-07,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,21.9,
814,1981-07,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.1,
815,1981-07,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,17.8,E
816,1981-07,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.9,
817,1981-07,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,39.2,
818,1981-07,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
927,1981-08,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.0,
928,1981-08,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,32.9,
929,1981-08,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
933,1981-08,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.2,
934,1981-08,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
935,1981-08,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,18.6,E
936,1981-08,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.9,
937,1981-08,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,39.2,
938,1981-08,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
1047,1981-09,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.0,
1048,1981-09,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,32.9,
1049,1981-09,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
1053,1981-09,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.2,
1054,1981-09,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
1055,1981-09,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,18.6,E
1056,1981-09,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.9,
1057,1981-09,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,39.2,
1058,1981-09,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
1167,1981-10,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.0,
1168,1981-10,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,32.9,
1169,1981-10,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
1173,1981-10,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.2,
1174,1981-10,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
1175,1981-10,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,18.6,E
1176,1981-10,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.9,
1177,1981-10,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,39.3,
1178,1981-10,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
1287,1981-11,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.0,
1288,1981-11,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,32.9,
1289,1981-11,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
1293,1981-11,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.5,
1294,1981-11,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
1295,1981-11,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
1296,1981-11,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.9,
1297,1981-11,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,39.3,
1298,1981-11,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
1407,1981-12,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.4,
1408,1981-12,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
1409,1981-12,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
1413,1981-12,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.5,
1414,1981-12,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
