,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
114,1981-01,"Vancouver, British Columbia",2011S0503933,Total (house and land),"Index, 201612=100",units,v111955556,90.5,
115,1981-01,"Vancouver, British Columbia",2011S0503933,House only,"Index, 201612=100",units,v111955557,96.1,
116,1981-01,"Vancouver, British Columbia",2011S0503933,Land only,"Index, 201612=100",units,v111955558,83.5,E
117,1981-01,"Victoria, British Columbia",2011S0503935,Total (house and land),"Index, 201612=100",units,v111955559,128.7,
118,1981-01,"Victoria, British Columbia",2011S0503935,House only,"Index, 201612=100",units,v111955560,206.8,
119,1981-01,"Victoria, British Columbia",2011S0503935,Land only,"Index, 201612=100",units,v111955561,50.5,E
234,1981-02,"Vancouver, British Columbia",2011S0503933,Total (house and land),"Index, 201612=100",units,v111955556,92.2,
235,1981-02,"Vancouver, British Columbia",2011S0503933,House only,"Index, 201612=100",units,v111955557,97.5,
236,1981-02,"Vancouver, British Columbia",2011S0503933,Land only,"Index, 201612=100",units,v111955558,85.3,E
237,1981-02,"Victoria, British Columbia",2011S0503935,Total (house and land),"Index, 201612=100",units,v111955559,130.1,
238,1981-02,"Victoria, British Columbia",2011S0503935,House only,"Index, 201612=100",units,v111955560,209.1,
239,1981-02,"Victoria, British Columbia",2011S0503935,Land only,"Index, 201612=100",units,v111955561,50.9,E
354,1981-03,"Vancouver, British Columbia",2011S0503933,Total (house and land),"Index, 201612=100",units,v111955556,92.2,
355,1981-03,"Vancouver, British Columbia",2011S0503933,House only,"Index, 201612=100",units,v111955557,97.5,
356,1981-03,"Vancouver, British Columbia",2011S0503933,Land only,"Index, 201612=100",units,v111955558,85.3,E
357,1981-03,"Victoria, British Columbia",2011S0503935,Total (house and land),"Index, 201612=100",units,v111955559,130.8,
358,1981-03,"Victoria, British Columbia",2011S0503935,House only,"Index, 201612=100",units,v111955560,210.6,
359,1981-03,"Victoria, British Columbia",2011S0503935,Land only,"Index, 201612=100",units,v111955561,50.9,E
474,1981-04,"Vancouver, British Columbia",2011S0503933,Total (house and land),"Index, 201612=100",units,v111955556,91.8,
475,1981-04,"Vancouver, British Columbia",2011S0503933,House only,"Index, 201612=100",units,v111955557,97.7,
476,1981-04,"Vancouver, British Columbia",2011S0503933,Land only,"Index, 201612=100",units,v111955558,84.2,E
477,1981-04,"Victoria, British Columbia",2011S0503935,Total (house and land),"Index, 201612=100",units,v111955559,130.8,
478,1981-04,"Victoria, British Columbia",2011S0503935,House only,"Index, 201612=100",units,v111955560,210.6,
479,1981-04,"Victoria, British Columbia",2011S0503935,Land only,"Index, 201612=100",units,v111955561,50.9,E
594,1981-05,"Vancouver, British Columbia",2011S0503933,Total (house and land),"Index, 201612=100",units,v111955556,91.8,
595,1981-05,"Vancouver, British Columbia",2011S0503933,House only,"Index, 201612=100",units,v111955557,97.7,
596,1981-05,"Vancouver, British Columbia",2011S0503933,Land only,"Index, 201612=100",units,v111955558,84.2,E
597,1981-05,"Victoria, British Columbia",2011S0503935,Total (house and land),"Index, 201612=100",units,v111955559,132.5,
598,1981-05,"Victoria, British Columbia",2011S0503935,House only,"Index, 201612=100",units,v111955560,212.4,
599,1981-05,"Victoria, British Columbia",2011S0503935,Land only,"Index, 201612=100",units,v111955561,52.1,E
714,1981-06,"Vancouver, British Columbia",2011S0503933,Total (house and land),"Index, 201612=100",units,v111955556,91.9,
715,1981-06,"Vancouver, British Columbia",2011S0503933,House only,"Index, 201612=100",units,v111955557,98.2,
716,1981-06,"Vancouver, British Columbia",2011S0503933,Land only,"Index, 201612=100",units,v111955558,84.2,E
717,1981-06,"Victoria, British Columbia",2011S0503935,Total (house and land),"Index, 201612=100",units,v111955559,132.8,
718,1981-06,"Victoria, British Columbia",2011S0503935,House only,"Index, 201612=100",units,v111955560,210.6,
