,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
993,1981-09,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.8,
994,1981-09,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.6,
995,1981-09,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.4,E
1002,1981-09,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,30.7,
1003,1981-09,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,32.1,
1004,1981-09,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,22.6,E
1011,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,35.2,
1012,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.9,
1013,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
1113,1981-10,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.8,
1114,1981-10,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.6,
1115,1981-10,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.5,E
1122,1981-10,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,31.0,
1123,1981-10,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,32.4,
1124,1981-10,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,22.6,E
1131,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,35.2,
1132,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.9,
1133,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
1233,1981-11,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,32.0,
1234,1981-11,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.8,
1235,1981-11,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.8,E
1242,1981-11,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,31.2,
1243,1981-11,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,32.7,
1244,1981-11,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,22.6,E
1251,1981-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,36.3,
1252,1981-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,35.2,
1253,1981-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,41.3,E
1353,1981-12,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,32.0,
1354,1981-12,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.8,
1355,1981-12,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.8,E
1362,1981-12,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,31.5,
1363,1981-12,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.1,
1364,1981-12,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,22.6,E
1371,1981-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,36.3,
1372,1981-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,35.2,
1373,1981-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,41.3,E
1473,1982-01,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,32.4,
1474,1982-01,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,37.3,
1475,1982-01,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.8,E
1482,1982-01,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.0,
1483,1982-01,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.6,
1484,1982-01,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,22.6,E
1491,1982-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,36.9,
1492,1982-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.0,
1493,1982-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,41.3,E
1593,1982-02,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,32.7,
1594,1982-02,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,37.8,
1595,1982-02,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
1602,1982-02,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.0,
1603,1982-02,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.5,
1604,1982-02,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.4,E
1611,1982-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.0,
1612,1982-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.2,
1613,1982-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,41.3,E
1713,1982-03,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,32.7,
1714,1982-03,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,37.8,
1715,1982-03,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
1722,1982-03,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.1,
1723,1982-03,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.5,
1724,1982-03,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.4,E
1731,1982-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.2,
1732,1982-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.1,
1733,1982-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
1833,1982-04,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,32.9,
1834,1982-04,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,37.9,
1835,1982-04,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
1842,1982-04,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.1,
1843,1982-04,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.5,
1844,1982-04,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.4,E
1851,1982-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.3,
1852,1982-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.3,
1853,1982-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
1953,1982-05,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.0,
1954,1982-05,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,38.0,
1955,1982-05,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
1962,1982-05,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.1,
1963,1982-05,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.5,
1964,1982-05,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.4,E
1971,1982-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.3,
1972,1982-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.3,
1973,1982-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
2073,1982-06,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.0,
2074,1982-06,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,38.1,
2075,1982-06,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
2082,1982-06,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.1,
2083,1982-06,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.5,
2084,1982-06,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.5,E
2091,1982-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.3,
2092,1982-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.3,
2093,1982-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
2193,1982-07,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.0,
2194,1982-07,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,38.1,
2195,1982-07,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
2202,1982-07,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.3,
2203,1982-07,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.8,
2204,1982-07,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.5,E
2211,1982-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.3,
2212,1982-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.3,
2213,1982-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
2313,1982-08,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.3,
2314,1982-08,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,38.5,
2315,1982-08,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.9,E
2322,1982-08,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.3,
2323,1982-08,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.9,
2324,1982-08,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.5,E
2331,1982-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.4,
2332,1982-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.3,
2333,1982-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
2433,1982-09,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.6,
2434,1982-09,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,38.9,
2435,1982-09,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.1,E
2442,1982-09,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.4,
2443,1982-09,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,34.0,
2444,1982-09,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.5,E
2451,1982-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.4,
2452,1982-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,36.3,
2453,1982-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
2553,1982-10,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.6,
2554,1982-10,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,38.9,
2555,1982-10,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.1,E
2562,1982-10,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.8,
2563,1982-10,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,34.3,
2564,1982-10,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.9,E
2571,1982-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,37.9,
2572,1982-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,37.0,
2573,1982-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.4,E
2673,1982-11,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.7,
2674,1982-11,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,39.0,
2675,1982-11,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.2,E
2682,1982-11,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.5,
2683,1982-11,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,34.0,
2684,1982-11,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.6,E
2691,1982-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,38.1,
2692,1982-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,37.2,
2693,1982-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,42.8,E
2793,1982-12,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,33.7,
2794,1982-12,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,39.1,
2795,1982-12,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.2,E
2802,1982-12,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.4,
2803,1982-12,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,34.0,
2804,1982-12,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.6,E
2811,1982-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,38.2,
2812,1982-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,37.3,
2813,1982-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,43.1,E
2913,1983-01,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,34.1,
2914,1983-01,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,39.5,
2915,1983-01,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.4,E
2922,1983-01,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.7,
2923,1983-01,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,34.1,
2924,1983-01,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,23.9,E
2931,1983-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,38.3,
2932,1983-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,37.3,
2933,1983-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,43.1,E
3033,1983-02,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,34.4,
3034,1983-02,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,39.8,
3035,1983-02,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.4,E
3042,1983-02,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.3,
3043,1983-02,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,33.8,
3044,1983-02,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,24.1,E
3051,1983-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,38.9,
3052,1983-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,37.8,
3053,1983-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,45.0,E
3153,1983-03,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,34.4,
3154,1983-03,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,39.8,
3155,1983-03,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,22.4,E
3162,1983-03,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,32.4,
