,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
33,1981-01,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,30.1,
34,1981-01,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,34.9,
35,1981-01,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,19.8,E
42,1981-01,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,28.5,
43,1981-01,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,30.0,
44,1981-01,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,20.3,E
51,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,32.6,
52,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,30.8,
53,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,39.9,E
153,1981-02,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,30.6,
154,1981-02,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,35.4,
155,1981-02,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,20.3,E
162,1981-02,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,28.8,
163,1981-02,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,30.2,
164,1981-02,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,20.7,E
171,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,32.6,
172,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,30.8,
173,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,39.9,E
273,1981-03,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,30.6,
274,1981-03,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,35.4,
275,1981-03,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,20.6,E
282,1981-03,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,29.0,
283,1981-03,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,30.5,
284,1981-03,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,21.0,E
291,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,33.6,
292,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,31.9,
293,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.6,E
393,1981-04,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.0,
394,1981-04,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,35.7,
395,1981-04,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,20.9,E
402,1981-04,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,29.3,
403,1981-04,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,30.8,
404,1981-04,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,21.0,E
411,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,33.7,
412,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,32.0,
413,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.6,E
513,1981-05,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.4,
514,1981-05,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.1,
515,1981-05,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.2,E
522,1981-05,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,29.7,
523,1981-05,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,31.1,
524,1981-05,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,21.3,E
531,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,34.3,
532,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,32.7,
533,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
633,1981-06,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.4,
634,1981-06,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.1,
635,1981-06,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.2,E
642,1981-06,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,30.0,
643,1981-06,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,31.5,
644,1981-06,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,21.7,E
651,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,34.8,
652,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.5,
653,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
753,1981-07,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.4,
754,1981-07,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.2,
755,1981-07,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.2,E
762,1981-07,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,30.2,
763,1981-07,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,31.7,
764,1981-07,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,21.7,E
771,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,34.9,
772,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.5,
773,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
873,1981-08,"Québec, Quebec",2011S0503421,Total (house and land),"Index, 201612=100",units,v111955475,31.6,
874,1981-08,"Québec, Quebec",2011S0503421,House only,"Index, 201612=100",units,v111955476,36.6,
875,1981-08,"Québec, Quebec",2011S0503421,Land only,"Index, 201612=100",units,v111955477,21.3,E
882,1981-08,"Montréal, Quebec",2011S0503462,Total (house and land),"Index, 201612=100",units,v111955484,30.3,
883,1981-08,"Montréal, Quebec",2011S0503462,House only,"Index, 201612=100",units,v111955485,31.7,
884,1981-08,"Montréal, Quebec",2011S0503462,Land only,"Index, 201612=100",units,v111955486,21.7,E
891,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Total (house and land),"Index, 201612=100",units,v111955493,35.2,
892,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",units,v111955494,33.9,
893,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",units,v111955495,40.8,E
