,DATE,PLACE,PLOT,VALUE,MONTH
8592,1986-12-01,"London, Ontario",Total (house and land),46.2,12
8595,1986-12-01,"Windsor, Ontario",Total (house and land),69.1,12
8598,1986-12-01,"Greater Sudbury, Ontario",Total (house and land),62.8,12
8607,1986-12-01,"Winnipeg, Manitoba",Total (house and land),36.7,12
8613,1986-12-01,"Regina, Saskatchewan",Total (house and land),24.8,12
8616,1986-12-01,"Saskatoon, Saskatchewan",Total (house and land),37.9,12
8622,1986-12-01,"Calgary, Alberta",Total (house and land),24.3,12
8625,1986-12-01,"Edmonton, Alberta",Total (house and land),32.2,12
8631,1986-12-01,"Kelowna, British Columbia",Total (house and land),,12
8634,1986-12-01,"Vancouver, British Columbia",Total (house and land),65.2,12
8637,1986-12-01,"Victoria, British Columbia",Total (house and land),86.2,12
8646,1987-01-01,Newfoundland and Labrador,Total (house and land),39.7,1
8649,1987-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),39.7,1
8652,1987-01-01,Prince Edward Island,Total (house and land),,1
8655,1987-01-01,"Charlottetown, Prince Edward Island",Total (house and land),,1
8661,1987-01-01,"Halifax, Nova Scotia",Total (house and land),51.5,1
8667,1987-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),72.8,1
8673,1987-01-01,"Québec, Quebec",Total (house and land),43.9,1
8676,1987-01-01,"Sherbrooke, Quebec",Total (house and land),,1
8679,1987-01-01,"Trois-Rivières, Quebec",Total (house and land),,1
8682,1987-01-01,"Montréal, Quebec",Total (house and land),42.5,1
8685,1987-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,1
8691,1987-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),46.0,1
8694,1987-01-01,"Oshawa, Ontario",Total (house and land),,1
8697,1987-01-01,"Toronto, Ontario",Total (house and land),41.5,1
8700,1987-01-01,"Hamilton, Ontario",Total (house and land),47.1,1
8703,1987-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),46.1,1
8706,1987-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),52.5,1
8709,1987-01-01,"Guelph, Ontario",Total (house and land),,1
8712,1987-01-01,"London, Ontario",Total (house and land),46.7,1
8715,1987-01-01,"Windsor, Ontario",Total (house and land),69.6,1
8718,1987-01-01,"Greater Sudbury, Ontario",Total (house and land),62.8,1
8727,1987-01-01,"Winnipeg, Manitoba",Total (house and land),36.9,1
8733,1987-01-01,"Regina, Saskatchewan",Total (house and land),24.8,1
8736,1987-01-01,"Saskatoon, Saskatchewan",Total (house and land),37.9,1
8742,1987-01-01,"Calgary, Alberta",Total (house and land),24.3,1
8745,1987-01-01,"Edmonton, Alberta",Total (house and land),32.2,1
8751,1987-01-01,"Kelowna, British Columbia",Total (house and land),,1
8754,1987-01-01,"Vancouver, British Columbia",Total (house and land),65.2,1
8757,1987-01-01,"Victoria, British Columbia",Total (house and land),86.2,1
8766,1987-02-01,Newfoundland and Labrador,Total (house and land),40.9,2
8769,1987-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),40.9,2
8772,1987-02-01,Prince Edward Island,Total (house and land),,2
8775,1987-02-01,"Charlottetown, Prince Edward Island",Total (house and land),,2
8781,1987-02-01,"Halifax, Nova Scotia",Total (house and land),51.8,2
8787,1987-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,2
8793,1987-02-01,"Québec, Quebec",Total (house and land),44.3,2
8796,1987-02-01,"Sherbrooke, Quebec",Total (house and land),,2
8799,1987-02-01,"Trois-Rivières, Quebec",Total (house and land),,2
8802,1987-02-01,"Montréal, Quebec",Total (house and land),43.0,2
8805,1987-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,2
8811,1987-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),46.1,2
8814,1987-02-01,"Oshawa, Ontario",Total (house and land),,2
8817,1987-02-01,"Toronto, Ontario",Total (house and land),42.8,2
8820,1987-02-01,"Hamilton, Ontario",Total (house and land),47.2,2
8823,1987-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),46.1,2
8826,1987-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),52.9,2
8829,1987-02-01,"Guelph, Ontario",Total (house and land),,2
8832,1987-02-01,"London, Ontario",Total (house and land),47.4,2
8835,1987-02-01,"Windsor, Ontario",Total (house and land),71.5,2
8838,1987-02-01,"Greater Sudbury, Ontario",Total (house and land),62.8,2
8847,1987-02-01,"Winnipeg, Manitoba",Total (house and land),37.2,2
8853,1987-02-01,"Regina, Saskatchewan",Total (house and land),24.9,2
8856,1987-02-01,"Saskatoon, Saskatchewan",Total (house and land),38.0,2
8862,1987-02-01,"Calgary, Alberta",Total (house and land),24.4,2
8865,1987-02-01,"Edmonton, Alberta",Total (house and land),32.6,2
8871,1987-02-01,"Kelowna, British Columbia",Total (house and land),,2
8874,1987-02-01,"Vancouver, British Columbia",Total (house and land),66.1,2
8877,1987-02-01,"Victoria, British Columbia",Total (house and land),86.9,2
8886,1987-03-01,Newfoundland and Labrador,Total (house and land),41.0,3
8889,1987-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.0,3
8892,1987-03-01,Prince Edward Island,Total (house and land),,3
8895,1987-03-01,"Charlottetown, Prince Edward Island",Total (house and land),,3
8901,1987-03-01,"Halifax, Nova Scotia",Total (house and land),51.8,3
8907,1987-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,3
8913,1987-03-01,"Québec, Quebec",Total (house and land),44.4,3
8916,1987-03-01,"Sherbrooke, Quebec",Total (house and land),,3
8919,1987-03-01,"Trois-Rivières, Quebec",Total (house and land),,3
8922,1987-03-01,"Montréal, Quebec",Total (house and land),44.0,3
8925,1987-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,3
8931,1987-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),46.3,3
8934,1987-03-01,"Oshawa, Ontario",Total (house and land),,3
8937,1987-03-01,"Toronto, Ontario",Total (house and land),45.5,3
8940,1987-03-01,"Hamilton, Ontario",Total (house and land),49.0,3
8943,1987-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),48.6,3
8946,1987-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),53.4,3
8949,1987-03-01,"Guelph, Ontario",Total (house and land),,3
8952,1987-03-01,"London, Ontario",Total (house and land),48.0,3
8955,1987-03-01,"Windsor, Ontario",Total (house and land),71.8,3
8958,1987-03-01,"Greater Sudbury, Ontario",Total (house and land),62.8,3
8967,1987-03-01,"Winnipeg, Manitoba",Total (house and land),37.8,3
8973,1987-03-01,"Regina, Saskatchewan",Total (house and land),24.9,3
8976,1987-03-01,"Saskatoon, Saskatchewan",Total (house and land),38.2,3
8982,1987-03-01,"Calgary, Alberta",Total (house and land),24.6,3
8985,1987-03-01,"Edmonton, Alberta",Total (house and land),32.7,3
8991,1987-03-01,"Kelowna, British Columbia",Total (house and land),,3
8994,1987-03-01,"Vancouver, British Columbia",Total (house and land),66.9,3
8997,1987-03-01,"Victoria, British Columbia",Total (house and land),87.5,3
9006,1987-04-01,Newfoundland and Labrador,Total (house and land),41.1,4
9009,1987-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.1,4
9012,1987-04-01,Prince Edward Island,Total (house and land),,4
9015,1987-04-01,"Charlottetown, Prince Edward Island",Total (house and land),,4
9021,1987-04-01,"Halifax, Nova Scotia",Total (house and land),51.8,4
9027,1987-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,4
9033,1987-04-01,"Québec, Quebec",Total (house and land),44.8,4
9036,1987-04-01,"Sherbrooke, Quebec",Total (house and land),,4
9039,1987-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
9042,1987-04-01,"Montréal, Quebec",Total (house and land),44.6,4
9045,1987-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
9051,1987-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),46.7,4
9054,1987-04-01,"Oshawa, Ontario",Total (house and land),,4
9057,1987-04-01,"Toronto, Ontario",Total (house and land),46.5,4
9060,1987-04-01,"Hamilton, Ontario",Total (house and land),49.0,4
9063,1987-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),48.9,4
9066,1987-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),54.9,4
9069,1987-04-01,"Guelph, Ontario",Total (house and land),,4
9072,1987-04-01,"London, Ontario",Total (house and land),48.9,4
9075,1987-04-01,"Windsor, Ontario",Total (house and land),72.8,4
9078,1987-04-01,"Greater Sudbury, Ontario",Total (house and land),62.8,4
9087,1987-04-01,"Winnipeg, Manitoba",Total (house and land),37.9,4
9093,1987-04-01,"Regina, Saskatchewan",Total (house and land),24.9,4
9096,1987-04-01,"Saskatoon, Saskatchewan",Total (house and land),38.3,4
9102,1987-04-01,"Calgary, Alberta",Total (house and land),24.8,4
9105,1987-04-01,"Edmonton, Alberta",Total (house and land),32.7,4
9111,1987-04-01,"Kelowna, British Columbia",Total (house and land),,4
9114,1987-04-01,"Vancouver, British Columbia",Total (house and land),67.2,4
9117,1987-04-01,"Victoria, British Columbia",Total (house and land),87.5,4
9126,1987-05-01,Newfoundland and Labrador,Total (house and land),41.2,5
9129,1987-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.2,5
9132,1987-05-01,Prince Edward Island,Total (house and land),,5
9135,1987-05-01,"Charlottetown, Prince Edward Island",Total (house and land),,5
9141,1987-05-01,"Halifax, Nova Scotia",Total (house and land),52.6,5
9147,1987-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,5
9153,1987-05-01,"Québec, Quebec",Total (house and land),45.0,5
9156,1987-05-01,"Sherbrooke, Quebec",Total (house and land),,5
9159,1987-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
9162,1987-05-01,"Montréal, Quebec",Total (house and land),45.2,5
9165,1987-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
9171,1987-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),47.3,5
9174,1987-05-01,"Oshawa, Ontario",Total (house and land),,5
9177,1987-05-01,"Toronto, Ontario",Total (house and land),47.0,5
9180,1987-05-01,"Hamilton, Ontario",Total (house and land),49.2,5
9183,1987-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),48.9,5
9186,1987-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),55.1,5
9189,1987-05-01,"Guelph, Ontario",Total (house and land),,5
9192,1987-05-01,"London, Ontario",Total (house and land),49.9,5
9195,1987-05-01,"Windsor, Ontario",Total (house and land),73.1,5
9198,1987-05-01,"Greater Sudbury, Ontario",Total (house and land),62.8,5
9207,1987-05-01,"Winnipeg, Manitoba",Total (house and land),37.8,5
9213,1987-05-01,"Regina, Saskatchewan",Total (house and land),25.1,5
9216,1987-05-01,"Saskatoon, Saskatchewan",Total (house and land),38.4,5
9222,1987-05-01,"Calgary, Alberta",Total (house and land),25.0,5
9225,1987-05-01,"Edmonton, Alberta",Total (house and land),32.8,5
9231,1987-05-01,"Kelowna, British Columbia",Total (house and land),,5
9234,1987-05-01,"Vancouver, British Columbia",Total (house and land),67.2,5
9237,1987-05-01,"Victoria, British Columbia",Total (house and land),87.5,5
9246,1987-06-01,Newfoundland and Labrador,Total (house and land),41.2,6
9249,1987-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.2,6
9252,1987-06-01,Prince Edward Island,Total (house and land),,6
9255,1987-06-01,"Charlottetown, Prince Edward Island",Total (house and land),,6
9261,1987-06-01,"Halifax, Nova Scotia",Total (house and land),52.9,6
9267,1987-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,6
9273,1987-06-01,"Québec, Quebec",Total (house and land),45.2,6
9276,1987-06-01,"Sherbrooke, Quebec",Total (house and land),,6
9279,1987-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
9282,1987-06-01,"Montréal, Quebec",Total (house and land),45.5,6
9285,1987-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
9291,1987-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),47.6,6
9294,1987-06-01,"Oshawa, Ontario",Total (house and land),,6
9297,1987-06-01,"Toronto, Ontario",Total (house and land),47.1,6
9300,1987-06-01,"Hamilton, Ontario",Total (house and land),50.0,6
9303,1987-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),49.1,6
9306,1987-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),56.3,6
9309,1987-06-01,"Guelph, Ontario",Total (house and land),,6
9312,1987-06-01,"London, Ontario",Total (house and land),49.9,6
9315,1987-06-01,"Windsor, Ontario",Total (house and land),73.7,6
9318,1987-06-01,"Greater Sudbury, Ontario",Total (house and land),69.4,6
9327,1987-06-01,"Winnipeg, Manitoba",Total (house and land),37.8,6
9333,1987-06-01,"Regina, Saskatchewan",Total (house and land),25.4,6
9336,1987-06-01,"Saskatoon, Saskatchewan",Total (house and land),38.4,6
9342,1987-06-01,"Calgary, Alberta",Total (house and land),25.1,6
9345,1987-06-01,"Edmonton, Alberta",Total (house and land),32.9,6
9351,1987-06-01,"Kelowna, British Columbia",Total (house and land),,6
9354,1987-06-01,"Vancouver, British Columbia",Total (house and land),67.2,6
9357,1987-06-01,"Victoria, British Columbia",Total (house and land),87.5,6
9366,1987-07-01,Newfoundland and Labrador,Total (house and land),41.3,7
9369,1987-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.3,7
9372,1987-07-01,Prince Edward Island,Total (house and land),,7
9375,1987-07-01,"Charlottetown, Prince Edward Island",Total (house and land),,7
9381,1987-07-01,"Halifax, Nova Scotia",Total (house and land),52.9,7
9387,1987-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,7
9393,1987-07-01,"Québec, Quebec",Total (house and land),45.3,7
9396,1987-07-01,"Sherbrooke, Quebec",Total (house and land),,7
9399,1987-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
9402,1987-07-01,"Montréal, Quebec",Total (house and land),45.7,7
9405,1987-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
9411,1987-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),47.9,7
9414,1987-07-01,"Oshawa, Ontario",Total (house and land),,7
9417,1987-07-01,"Toronto, Ontario",Total (house and land),47.3,7
9420,1987-07-01,"Hamilton, Ontario",Total (house and land),50.2,7
9423,1987-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),49.5,7
9426,1987-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),56.9,7
9429,1987-07-01,"Guelph, Ontario",Total (house and land),,7
9432,1987-07-01,"London, Ontario",Total (house and land),50.2,7
9435,1987-07-01,"Windsor, Ontario",Total (house and land),73.7,7
9438,1987-07-01,"Greater Sudbury, Ontario",Total (house and land),69.8,7
9447,1987-07-01,"Winnipeg, Manitoba",Total (house and land),38.0,7
9453,1987-07-01,"Regina, Saskatchewan",Total (house and land),25.4,7
9456,1987-07-01,"Saskatoon, Saskatchewan",Total (house and land),38.6,7
9462,1987-07-01,"Calgary, Alberta",Total (house and land),25.3,7
9465,1987-07-01,"Edmonton, Alberta",Total (house and land),33.0,7
9471,1987-07-01,"Kelowna, British Columbia",Total (house and land),,7
9474,1987-07-01,"Vancouver, British Columbia",Total (house and land),67.3,7
9477,1987-07-01,"Victoria, British Columbia",Total (house and land),87.6,7
9486,1987-08-01,Newfoundland and Labrador,Total (house and land),41.4,8
9489,1987-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.4,8
9492,1987-08-01,Prince Edward Island,Total (house and land),,8
9495,1987-08-01,"Charlottetown, Prince Edward Island",Total (house and land),,8
9501,1987-08-01,"Halifax, Nova Scotia",Total (house and land),53.1,8
9507,1987-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,8
9513,1987-08-01,"Québec, Quebec",Total (house and land),45.6,8
9516,1987-08-01,"Sherbrooke, Quebec",Total (house and land),,8
9519,1987-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
9522,1987-08-01,"Montréal, Quebec",Total (house and land),46.6,8
9525,1987-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
9531,1987-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.0,8
9534,1987-08-01,"Oshawa, Ontario",Total (house and land),,8
9537,1987-08-01,"Toronto, Ontario",Total (house and land),47.3,8
9540,1987-08-01,"Hamilton, Ontario",Total (house and land),51.5,8
9543,1987-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),49.5,8
9546,1987-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,8
9549,1987-08-01,"Guelph, Ontario",Total (house and land),,8
9552,1987-08-01,"London, Ontario",Total (house and land),50.6,8
9555,1987-08-01,"Windsor, Ontario",Total (house and land),73.7,8
9558,1987-08-01,"Greater Sudbury, Ontario",Total (house and land),70.1,8
9567,1987-08-01,"Winnipeg, Manitoba",Total (house and land),37.9,8
9573,1987-08-01,"Regina, Saskatchewan",Total (house and land),25.4,8
9576,1987-08-01,"Saskatoon, Saskatchewan",Total (house and land),38.6,8
9582,1987-08-01,"Calgary, Alberta",Total (house and land),25.4,8
9585,1987-08-01,"Edmonton, Alberta",Total (house and land),33.3,8
9591,1987-08-01,"Kelowna, British Columbia",Total (house and land),,8
9594,1987-08-01,"Vancouver, British Columbia",Total (house and land),67.6,8
9597,1987-08-01,"Victoria, British Columbia",Total (house and land),90.3,8
9606,1987-09-01,Newfoundland and Labrador,Total (house and land),41.4,9
9609,1987-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.4,9
9612,1987-09-01,Prince Edward Island,Total (house and land),,9
9615,1987-09-01,"Charlottetown, Prince Edward Island",Total (house and land),,9
9621,1987-09-01,"Halifax, Nova Scotia",Total (house and land),53.3,9
9627,1987-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,9
9633,1987-09-01,"Québec, Quebec",Total (house and land),46.1,9
9636,1987-09-01,"Sherbrooke, Quebec",Total (house and land),,9
9639,1987-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
9642,1987-09-01,"Montréal, Quebec",Total (house and land),47.2,9
9645,1987-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
9651,1987-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.2,9
9654,1987-09-01,"Oshawa, Ontario",Total (house and land),,9
9657,1987-09-01,"Toronto, Ontario",Total (house and land),47.7,9
9660,1987-09-01,"Hamilton, Ontario",Total (house and land),53.3,9
9663,1987-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),49.7,9
9666,1987-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,9
9669,1987-09-01,"Guelph, Ontario",Total (house and land),,9
9672,1987-09-01,"London, Ontario",Total (house and land),50.6,9
9675,1987-09-01,"Windsor, Ontario",Total (house and land),73.7,9
9678,1987-09-01,"Greater Sudbury, Ontario",Total (house and land),70.1,9
9687,1987-09-01,"Winnipeg, Manitoba",Total (house and land),38.3,9
9693,1987-09-01,"Regina, Saskatchewan",Total (house and land),25.4,9
9696,1987-09-01,"Saskatoon, Saskatchewan",Total (house and land),38.9,9
9702,1987-09-01,"Calgary, Alberta",Total (house and land),25.5,9
9705,1987-09-01,"Edmonton, Alberta",Total (house and land),33.5,9
9711,1987-09-01,"Kelowna, British Columbia",Total (house and land),,9
9714,1987-09-01,"Vancouver, British Columbia",Total (house and land),68.6,9
9717,1987-09-01,"Victoria, British Columbia",Total (house and land),90.3,9
9726,1987-10-01,Newfoundland and Labrador,Total (house and land),41.5,10
9729,1987-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.5,10
9732,1987-10-01,Prince Edward Island,Total (house and land),,10
9735,1987-10-01,"Charlottetown, Prince Edward Island",Total (house and land),,10
9741,1987-10-01,"Halifax, Nova Scotia",Total (house and land),53.3,10
9747,1987-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,10
9753,1987-10-01,"Québec, Quebec",Total (house and land),46.7,10
9756,1987-10-01,"Sherbrooke, Quebec",Total (house and land),,10
9759,1987-10-01,"Trois-Rivières, Quebec",Total (house and land),,10
9762,1987-10-01,"Montréal, Quebec",Total (house and land),47.5,10
9765,1987-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,10
9771,1987-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.4,10
9774,1987-10-01,"Oshawa, Ontario",Total (house and land),,10
9777,1987-10-01,"Toronto, Ontario",Total (house and land),48.0,10
9780,1987-10-01,"Hamilton, Ontario",Total (house and land),53.3,10
9783,1987-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),49.7,10
9786,1987-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,10
9789,1987-10-01,"Guelph, Ontario",Total (house and land),,10
9792,1987-10-01,"London, Ontario",Total (house and land),50.6,10
9795,1987-10-01,"Windsor, Ontario",Total (house and land),73.5,10
9798,1987-10-01,"Greater Sudbury, Ontario",Total (house and land),70.1,10
9807,1987-10-01,"Winnipeg, Manitoba",Total (house and land),38.3,10
9813,1987-10-01,"Regina, Saskatchewan",Total (house and land),25.4,10
9816,1987-10-01,"Saskatoon, Saskatchewan",Total (house and land),38.9,10
9822,1987-10-01,"Calgary, Alberta",Total (house and land),25.9,10
9825,1987-10-01,"Edmonton, Alberta",Total (house and land),33.6,10
9831,1987-10-01,"Kelowna, British Columbia",Total (house and land),,10
9834,1987-10-01,"Vancouver, British Columbia",Total (house and land),68.6,10
9837,1987-10-01,"Victoria, British Columbia",Total (house and land),90.7,10
9846,1987-11-01,Newfoundland and Labrador,Total (house and land),41.7,11
9849,1987-11-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,11
9852,1987-11-01,Prince Edward Island,Total (house and land),,11
9855,1987-11-01,"Charlottetown, Prince Edward Island",Total (house and land),,11
9861,1987-11-01,"Halifax, Nova Scotia",Total (house and land),53.7,11
9867,1987-11-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,11
9873,1987-11-01,"Québec, Quebec",Total (house and land),46.8,11
9876,1987-11-01,"Sherbrooke, Quebec",Total (house and land),,11
9879,1987-11-01,"Trois-Rivières, Quebec",Total (house and land),,11
9882,1987-11-01,"Montréal, Quebec",Total (house and land),47.8,11
9885,1987-11-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,11
9891,1987-11-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.7,11
9894,1987-11-01,"Oshawa, Ontario",Total (house and land),,11
9897,1987-11-01,"Toronto, Ontario",Total (house and land),48.1,11
9900,1987-11-01,"Hamilton, Ontario",Total (house and land),54.2,11
9903,1987-11-01,"St. Catharines-Niagara, Ontario",Total (house and land),50.3,11
9906,1987-11-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,11
9909,1987-11-01,"Guelph, Ontario",Total (house and land),,11
9912,1987-11-01,"London, Ontario",Total (house and land),50.7,11
9915,1987-11-01,"Windsor, Ontario",Total (house and land),73.5,11
9918,1987-11-01,"Greater Sudbury, Ontario",Total (house and land),71.3,11
9927,1987-11-01,"Winnipeg, Manitoba",Total (house and land),38.3,11
9933,1987-11-01,"Regina, Saskatchewan",Total (house and land),25.5,11
9936,1987-11-01,"Saskatoon, Saskatchewan",Total (house and land),38.9,11
9942,1987-11-01,"Calgary, Alberta",Total (house and land),26.0,11
9945,1987-11-01,"Edmonton, Alberta",Total (house and land),33.7,11
9951,1987-11-01,"Kelowna, British Columbia",Total (house and land),,11
9954,1987-11-01,"Vancouver, British Columbia",Total (house and land),68.7,11
9957,1987-11-01,"Victoria, British Columbia",Total (house and land),91.0,11
9966,1987-12-01,Newfoundland and Labrador,Total (house and land),41.7,12
9969,1987-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,12
9972,1987-12-01,Prince Edward Island,Total (house and land),,12
9975,1987-12-01,"Charlottetown, Prince Edward Island",Total (house and land),,12
9981,1987-12-01,"Halifax, Nova Scotia",Total (house and land),53.7,12
9987,1987-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,12
9993,1987-12-01,"Québec, Quebec",Total (house and land),47.0,12
9996,1987-12-01,"Sherbrooke, Quebec",Total (house and land),,12
9999,1987-12-01,"Trois-Rivières, Quebec",Total (house and land),,12
10002,1987-12-01,"Montréal, Quebec",Total (house and land),48.1,12
10005,1987-12-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,12
10011,1987-12-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.9,12
10014,1987-12-01,"Oshawa, Ontario",Total (house and land),,12
10017,1987-12-01,"Toronto, Ontario",Total (house and land),48.2,12
10020,1987-12-01,"Hamilton, Ontario",Total (house and land),54.4,12
10023,1987-12-01,"St. Catharines-Niagara, Ontario",Total (house and land),50.6,12
10026,1987-12-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.3,12
10029,1987-12-01,"Guelph, Ontario",Total (house and land),,12
10032,1987-12-01,"London, Ontario",Total (house and land),50.7,12
10035,1987-12-01,"Windsor, Ontario",Total (house and land),73.5,12
10038,1987-12-01,"Greater Sudbury, Ontario",Total (house and land),71.3,12
10047,1987-12-01,"Winnipeg, Manitoba",Total (house and land),38.3,12
10053,1987-12-01,"Regina, Saskatchewan",Total (house and land),25.5,12
10056,1987-12-01,"Saskatoon, Saskatchewan",Total (house and land),39.0,12
10062,1987-12-01,"Calgary, Alberta",Total (house and land),26.0,12
10065,1987-12-01,"Edmonton, Alberta",Total (house and land),33.8,12
10071,1987-12-01,"Kelowna, British Columbia",Total (house and land),,12
10074,1987-12-01,"Vancouver, British Columbia",Total (house and land),68.7,12
10077,1987-12-01,"Victoria, British Columbia",Total (house and land),91.0,12
10086,1988-01-01,Newfoundland and Labrador,Total (house and land),41.7,1
10089,1988-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,1
10092,1988-01-01,Prince Edward Island,Total (house and land),,1
10095,1988-01-01,"Charlottetown, Prince Edward Island",Total (house and land),,1
10101,1988-01-01,"Halifax, Nova Scotia",Total (house and land),53.7,1
10107,1988-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,1
10113,1988-01-01,"Québec, Quebec",Total (house and land),47.4,1
10116,1988-01-01,"Sherbrooke, Quebec",Total (house and land),,1
10119,1988-01-01,"Trois-Rivières, Quebec",Total (house and land),,1
10122,1988-01-01,"Montréal, Quebec",Total (house and land),48.6,1
10125,1988-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,1
10131,1988-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),49.0,1
10134,1988-01-01,"Oshawa, Ontario",Total (house and land),,1
10137,1988-01-01,"Toronto, Ontario",Total (house and land),48.2,1
10140,1988-01-01,"Hamilton, Ontario",Total (house and land),54.4,1
10143,1988-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),50.6,1
10146,1988-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.4,1
10149,1988-01-01,"Guelph, Ontario",Total (house and land),,1
10152,1988-01-01,"London, Ontario",Total (house and land),51.0,1
