,DATE,PLACE,PLOT,VALUE,MONTH
357,1981-03-01,"Victoria, British Columbia",Total (house and land),130.8,3
366,1981-04-01,Newfoundland and Labrador,Total (house and land),,4
369,1981-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.2,4
372,1981-04-01,Prince Edward Island,Total (house and land),,4
375,1981-04-01,"Charlottetown, Prince Edward Island",Total (house and land),,4
381,1981-04-01,"Halifax, Nova Scotia",Total (house and land),,4
387,1981-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.2,4
393,1981-04-01,"Québec, Quebec",Total (house and land),31.0,4
396,1981-04-01,"Sherbrooke, Quebec",Total (house and land),,4
399,1981-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
402,1981-04-01,"Montréal, Quebec",Total (house and land),29.3,4
405,1981-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
411,1981-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),33.7,4
414,1981-04-01,"Oshawa, Ontario",Total (house and land),,4
417,1981-04-01,"Toronto, Ontario",Total (house and land),31.2,4
420,1981-04-01,"Hamilton, Ontario",Total (house and land),31.0,4
423,1981-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),30.8,4
426,1981-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.6,4
429,1981-04-01,"Guelph, Ontario",Total (house and land),,4
432,1981-04-01,"London, Ontario",Total (house and land),33.3,4
435,1981-04-01,"Windsor, Ontario",Total (house and land),60.6,4
438,1981-04-01,"Greater Sudbury, Ontario",Total (house and land),56.9,4
447,1981-04-01,"Winnipeg, Manitoba",Total (house and land),27.4,4
453,1981-04-01,"Regina, Saskatchewan",Total (house and land),21.3,4
456,1981-04-01,"Saskatoon, Saskatchewan",Total (house and land),34.6,4
462,1981-04-01,"Calgary, Alberta",Total (house and land),26.7,4
465,1981-04-01,"Edmonton, Alberta",Total (house and land),36.1,4
471,1981-04-01,"Kelowna, British Columbia",Total (house and land),,4
474,1981-04-01,"Vancouver, British Columbia",Total (house and land),91.8,4
477,1981-04-01,"Victoria, British Columbia",Total (house and land),130.8,4
486,1981-05-01,Newfoundland and Labrador,Total (house and land),,5
489,1981-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,5
492,1981-05-01,Prince Edward Island,Total (house and land),,5
495,1981-05-01,"Charlottetown, Prince Edward Island",Total (house and land),,5
501,1981-05-01,"Halifax, Nova Scotia",Total (house and land),,5
507,1981-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,5
513,1981-05-01,"Québec, Quebec",Total (house and land),31.4,5
516,1981-05-01,"Sherbrooke, Quebec",Total (house and land),,5
519,1981-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
522,1981-05-01,"Montréal, Quebec",Total (house and land),29.7,5
525,1981-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
531,1981-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.3,5
534,1981-05-01,"Oshawa, Ontario",Total (house and land),,5
537,1981-05-01,"Toronto, Ontario",Total (house and land),32.3,5
540,1981-05-01,"Hamilton, Ontario",Total (house and land),32.6,5
543,1981-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.0,5
546,1981-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.6,5
549,1981-05-01,"Guelph, Ontario",Total (house and land),,5
552,1981-05-01,"London, Ontario",Total (house and land),33.3,5
555,1981-05-01,"Windsor, Ontario",Total (house and land),60.6,5
558,1981-05-01,"Greater Sudbury, Ontario",Total (house and land),56.9,5
567,1981-05-01,"Winnipeg, Manitoba",Total (house and land),27.9,5
573,1981-05-01,"Regina, Saskatchewan",Total (house and land),21.9,5
576,1981-05-01,"Saskatoon, Saskatchewan",Total (house and land),34.8,5
582,1981-05-01,"Calgary, Alberta",Total (house and land),26.7,5
585,1981-05-01,"Edmonton, Alberta",Total (house and land),37.3,5
591,1981-05-01,"Kelowna, British Columbia",Total (house and land),,5
594,1981-05-01,"Vancouver, British Columbia",Total (house and land),91.8,5
597,1981-05-01,"Victoria, British Columbia",Total (house and land),132.5,5
606,1981-06-01,Newfoundland and Labrador,Total (house and land),,6
609,1981-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,6
612,1981-06-01,Prince Edward Island,Total (house and land),,6
615,1981-06-01,"Charlottetown, Prince Edward Island",Total (house and land),,6
621,1981-06-01,"Halifax, Nova Scotia",Total (house and land),,6
627,1981-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,6
633,1981-06-01,"Québec, Quebec",Total (house and land),31.4,6
636,1981-06-01,"Sherbrooke, Quebec",Total (house and land),,6
639,1981-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
642,1981-06-01,"Montréal, Quebec",Total (house and land),30.0,6
645,1981-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
651,1981-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.8,6
654,1981-06-01,"Oshawa, Ontario",Total (house and land),,6
657,1981-06-01,"Toronto, Ontario",Total (house and land),32.3,6
660,1981-06-01,"Hamilton, Ontario",Total (house and land),32.7,6
663,1981-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,6
666,1981-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.9,6
669,1981-06-01,"Guelph, Ontario",Total (house and land),,6
672,1981-06-01,"London, Ontario",Total (house and land),33.6,6
675,1981-06-01,"Windsor, Ontario",Total (house and land),60.6,6
678,1981-06-01,"Greater Sudbury, Ontario",Total (house and land),57.1,6
687,1981-06-01,"Winnipeg, Manitoba",Total (house and land),28.4,6
693,1981-06-01,"Regina, Saskatchewan",Total (house and land),21.9,6
696,1981-06-01,"Saskatoon, Saskatchewan",Total (house and land),35.0,6
702,1981-06-01,"Calgary, Alberta",Total (house and land),27.1,6
705,1981-06-01,"Edmonton, Alberta",Total (house and land),37.4,6
711,1981-06-01,"Kelowna, British Columbia",Total (house and land),,6
714,1981-06-01,"Vancouver, British Columbia",Total (house and land),91.9,6
717,1981-06-01,"Victoria, British Columbia",Total (house and land),132.8,6
726,1981-07-01,Newfoundland and Labrador,Total (house and land),,7
729,1981-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,7
732,1981-07-01,Prince Edward Island,Total (house and land),,7
735,1981-07-01,"Charlottetown, Prince Edward Island",Total (house and land),,7
741,1981-07-01,"Halifax, Nova Scotia",Total (house and land),,7
747,1981-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.4,7
753,1981-07-01,"Québec, Quebec",Total (house and land),31.4,7
756,1981-07-01,"Sherbrooke, Quebec",Total (house and land),,7
759,1981-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
762,1981-07-01,"Montréal, Quebec",Total (house and land),30.2,7
765,1981-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
771,1981-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.9,7
774,1981-07-01,"Oshawa, Ontario",Total (house and land),,7
777,1981-07-01,"Toronto, Ontario",Total (house and land),32.2,7
780,1981-07-01,"Hamilton, Ontario",Total (house and land),32.7,7
783,1981-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,7
786,1981-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.9,7
789,1981-07-01,"Guelph, Ontario",Total (house and land),,7
792,1981-07-01,"London, Ontario",Total (house and land),34.1,7
795,1981-07-01,"Windsor, Ontario",Total (house and land),60.6,7
798,1981-07-01,"Greater Sudbury, Ontario",Total (house and land),57.1,7
807,1981-07-01,"Winnipeg, Manitoba",Total (house and land),28.5,7
813,1981-07-01,"Regina, Saskatchewan",Total (house and land),21.9,7
816,1981-07-01,"Saskatoon, Saskatchewan",Total (house and land),35.9,7
822,1981-07-01,"Calgary, Alberta",Total (house and land),27.1,7
825,1981-07-01,"Edmonton, Alberta",Total (house and land),37.4,7
831,1981-07-01,"Kelowna, British Columbia",Total (house and land),,7
834,1981-07-01,"Vancouver, British Columbia",Total (house and land),91.8,7
837,1981-07-01,"Victoria, British Columbia",Total (house and land),130.8,7
846,1981-08-01,Newfoundland and Labrador,Total (house and land),,8
849,1981-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,8
852,1981-08-01,Prince Edward Island,Total (house and land),,8
855,1981-08-01,"Charlottetown, Prince Edward Island",Total (house and land),,8
861,1981-08-01,"Halifax, Nova Scotia",Total (house and land),,8
867,1981-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),58.3,8
873,1981-08-01,"Québec, Quebec",Total (house and land),31.6,8
876,1981-08-01,"Sherbrooke, Quebec",Total (house and land),,8
879,1981-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
882,1981-08-01,"Montréal, Quebec",Total (house and land),30.3,8
885,1981-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
891,1981-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),35.2,8
894,1981-08-01,"Oshawa, Ontario",Total (house and land),,8
897,1981-08-01,"Toronto, Ontario",Total (house and land),32.5,8
900,1981-08-01,"Hamilton, Ontario",Total (house and land),32.7,8
903,1981-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,8
906,1981-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.9,8
909,1981-08-01,"Guelph, Ontario",Total (house and land),,8
912,1981-08-01,"London, Ontario",Total (house and land),34.1,8
915,1981-08-01,"Windsor, Ontario",Total (house and land),60.6,8
918,1981-08-01,"Greater Sudbury, Ontario",Total (house and land),57.2,8
927,1981-08-01,"Winnipeg, Manitoba",Total (house and land),29.0,8
933,1981-08-01,"Regina, Saskatchewan",Total (house and land),22.2,8
936,1981-08-01,"Saskatoon, Saskatchewan",Total (house and land),35.9,8
942,1981-08-01,"Calgary, Alberta",Total (house and land),27.1,8
945,1981-08-01,"Edmonton, Alberta",Total (house and land),37.7,8
951,1981-08-01,"Kelowna, British Columbia",Total (house and land),,8
954,1981-08-01,"Vancouver, British Columbia",Total (house and land),87.3,8
957,1981-08-01,"Victoria, British Columbia",Total (house and land),130.8,8
966,1981-09-01,Newfoundland and Labrador,Total (house and land),,9
969,1981-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,9
972,1981-09-01,Prince Edward Island,Total (house and land),,9
975,1981-09-01,"Charlottetown, Prince Edward Island",Total (house and land),,9
981,1981-09-01,"Halifax, Nova Scotia",Total (house and land),,9
987,1981-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),58.3,9
993,1981-09-01,"Québec, Quebec",Total (house and land),31.8,9
996,1981-09-01,"Sherbrooke, Quebec",Total (house and land),,9
999,1981-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
1002,1981-09-01,"Montréal, Quebec",Total (house and land),30.7,9
1005,1981-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
1011,1981-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),35.2,9
1014,1981-09-01,"Oshawa, Ontario",Total (house and land),,9
1017,1981-09-01,"Toronto, Ontario",Total (house and land),32.6,9
1020,1981-09-01,"Hamilton, Ontario",Total (house and land),32.7,9
1023,1981-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,9
1026,1981-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.0,9
1029,1981-09-01,"Guelph, Ontario",Total (house and land),,9
1032,1981-09-01,"London, Ontario",Total (house and land),34.2,9
1035,1981-09-01,"Windsor, Ontario",Total (house and land),58.3,9
1038,1981-09-01,"Greater Sudbury, Ontario",Total (house and land),57.2,9
1047,1981-09-01,"Winnipeg, Manitoba",Total (house and land),29.0,9
1053,1981-09-01,"Regina, Saskatchewan",Total (house and land),22.2,9
1056,1981-09-01,"Saskatoon, Saskatchewan",Total (house and land),35.9,9
1062,1981-09-01,"Calgary, Alberta",Total (house and land),27.2,9
1065,1981-09-01,"Edmonton, Alberta",Total (house and land),37.7,9
1071,1981-09-01,"Kelowna, British Columbia",Total (house and land),,9
1074,1981-09-01,"Vancouver, British Columbia",Total (house and land),84.4,9
1077,1981-09-01,"Victoria, British Columbia",Total (house and land),125.2,9
1086,1981-10-01,Newfoundland and Labrador,Total (house and land),,10
1089,1981-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,10
1092,1981-10-01,Prince Edward Island,Total (house and land),,10
1095,1981-10-01,"Charlottetown, Prince Edward Island",Total (house and land),,10
1101,1981-10-01,"Halifax, Nova Scotia",Total (house and land),,10
1107,1981-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,10
1113,1981-10-01,"Québec, Quebec",Total (house and land),31.8,10
1116,1981-10-01,"Sherbrooke, Quebec",Total (house and land),,10
1119,1981-10-01,"Trois-Rivières, Quebec",Total (house and land),,10
1122,1981-10-01,"Montréal, Quebec",Total (house and land),31.0,10
1125,1981-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,10
1131,1981-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),35.2,10
1134,1981-10-01,"Oshawa, Ontario",Total (house and land),,10
1137,1981-10-01,"Toronto, Ontario",Total (house and land),32.5,10
1140,1981-10-01,"Hamilton, Ontario",Total (house and land),32.7,10
1143,1981-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,10
1146,1981-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.2,10
1149,1981-10-01,"Guelph, Ontario",Total (house and land),,10
1152,1981-10-01,"London, Ontario",Total (house and land),34.2,10
1155,1981-10-01,"Windsor, Ontario",Total (house and land),58.3,10
1158,1981-10-01,"Greater Sudbury, Ontario",Total (house and land),57.2,10
1167,1981-10-01,"Winnipeg, Manitoba",Total (house and land),29.0,10
1173,1981-10-01,"Regina, Saskatchewan",Total (house and land),22.2,10
1176,1981-10-01,"Saskatoon, Saskatchewan",Total (house and land),35.9,10
1182,1981-10-01,"Calgary, Alberta",Total (house and land),27.3,10
